,,,content,NA,P,F,M,A
9.26E+17,SISBIGS,38:23.0,"All thabmks to the higher spirits for allowin us to see another day FUCK CANCER,  LUPUS AND ANY OTHER DISEASE... https://t.co/60jnbQmoLt",,x,,,
9.26E+17,OweliasAnatomy,37:23.0,@tellmecarey Selena is battling Lupus and raising awareness of the disease. She received a kidney transplant.,,x,,,
9.26E+17,DonovanTocher,37:22.0,"I have every possible symptom of lupus but have a neg ANA. 
Wonder if I'm part of the 2% https://t.co/yzvzOxRDhW",,x,,,
9.26E+17,_vivodigomez_,37:20.0,@holyvittar @INDIEWASHERE @DeguBusn SHE DIDN’T LIE ABOUT THE LUPUS STUPID ANIMAL. DELETE YOUR COMMENT IGNORANT.,,x,,,
9.26E+17,Doc_Lexi,34:27.0,"@Happyascanbe11 @rkadkins312 @DonaldJTrumpJr @realDonaldTrump Ocare is by no means perfect.  I agree. FIX it. Any major changes, ppl like me LOSE. I have lupus, three ppl in my support grp died. No INS.",,x,,,
9.26E+17,lupusincolor,32:38.0,"Sometimes as  you fight for your life, lupus can take you to a place where you can only stand in the mirror and cry. ..#LupusInColor https://t.co/LkNxk8UvGA",,x,,,
9.26E+17,marojehca,32:34.0,"this is all so mind-boggling.
the girl fought lupus.
got a transplant to be healthy again 
and when she does, she goes back to him?
oh-kay.",,x,,,
9.26E+17,hlatse_njie,32:00.0,"So I’m back in hospital for tests with a confirmed diagnosis of SLE (Lupus)
The past couple of years have been a roller coaster https://t.co/eCS0Yipsv5",,x,,,
9.26E+17,alicem88,29:16.0,@Lupus_Chat @CakeladieDeAnna I think everyone feels the same at least once in their fight against lupus. I know it’s hard but remember your lupus family understands,,x,,,
9.26E+17,aintyourfault,27:53.0,"@tellmecarey What about Selena fighting against lupus, goig to rehab and having to go through a kidney transplant without which she could be dead now?",,x,,,
9.26E+17,lupusincolor,27:41.0,"Fall back in love with yourself. Don't allow lupus to steal  your joy, happiness or love for yourself... #LupusInColor https://t.co/OrxGJ7YCKQ",,x,,,
9.26E+17,MaddieRiggs,27:17.0,Selena almost died until her friend happened to be a match for her kidney and now campaigns and rallies for organ donation and lupus https://t.co/QKPZ6mo3f9,,x,,,
9.26E+17,lupussurvivors,26:19.0,Lupus usually develops between ages 15 and 44 and it lasts a lifetime. There is NO CURE.  SHARE 4 #lupusawareness  https://t.co/TClwcK0izG https://t.co/5bUoNOZB98,,,,,x
9.26E+17,brianna_osha,26:10.0,Lol remember when Selena had Lupus and was still helping make 13rw ? (to help people from killing themselves) https://t.co/JYzvf6kMxs,,x,,,
9.26E+17,_ShittHappens,25:54.0,Remember how Selena went through a kidney transplant due to her Lupus and still found the strength to show support to many.. https://t.co/OBsJaYDxMM,,x,,,
9.26E+17,gabbzill,24:38.0,The positive thing she’s done is bring light to lupus and she hasn’t even raised money to help it?? LITRALLY useless bye seleener,,x,,,
9.26E+17,Eli_Hudspeth,24:25.0,"Remember when ""13 Reasons Why"" came out and it was such an eye opener for people? Yeah Selena produced that while battling Lupus https://t.co/O5meVm4Avq",,x,,,
9.26E+17,imchantellylace,24:09.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus...
⭐️💫⭐️❣❣❣
Copy and paste",,,,,x
9.26E+17,lupuscyclopedia,24:00.0,"How to choose the best rheumatologist to treat your #lupus?

I am posting a 15 to16-part series on how to choose... https://t.co/wqUm6G2iMd",,,,x,
9.26E+17,jackbalfour,20:57.0,@jemimallah @PacelliMotu @cushbomb Yes and I eagerly await your account of how Jesus Christ told you that weed cures lupus,,x,,,
9.26E+17,blondemomster75,19:52.0,Seventeen years ago.i lost my mom. From complications of lupus ( double kidney failure ) my kids never met her .she was so pretty and cool!,,x,,,
9.26E+17,missnaedotcom,14:47.0,Did you know? #lupus #LupusAwareness #LupusChat #fact https://t.co/SliQucc8rY,,,,,x
9.26E+17,HadaraBar,14:24.0,"Molly Spencer, ""Love Poem for Lupus"" / Memorious 28 https://t.co/XjKrbCNMLO",,x,,,
9.26E+17,fox_white_runt,13:26.0,@itsduckielove One of my best friends has lupus,,x,,,
9.26E+17,lupussurvivors,12:57.0,READ &amp; SHARE: COURTNEY’S LUPUS SURVIVOR STORY  https://t.co/2AxMVrkiE9,,,,,x
9.26E+17,LupusCanada,12:35.0,"As we await #GivingTuesday show your support for #lupus. Take a pic/tag it #unselfie, #GivingTuesdayCA, upload to your social media accounts https://t.co/ei8i1uvgKX",,,,,x
9.26E+17,slvrdragonfly,12:00.0,"I am Tougher
#epiconetsy #craftbuzz #UKSoPro #fibro #fibrowarrior #lupus #lupuswarrior #chiari #chiariwarrior
SHOP&gt; https://t.co/b7104GmJun",,,,,x
9.26E+17,lovejelieber1,10:47.0,@lilpurpose Of course not! Nobody deserves to have lupus! And you’re right she is living a positive life and of course she was heartbroken.,,x,,,
9.26E+17,MarcoHaamans,08:36.0,#ThisIsLupus Julian Lennon talks about Lucy and #Lupus for #LupusAwareness and more @LupusResearch #LupusResearch ✋ https://t.co/Znj28FeJQE https://t.co/koIPrKUQ7Z,,,,,x
9.26E+17,lupuscyclopedia,07:21.0,Promising potential treatment for #scleroderma. Some people who have systemic #lupus also have scleroderma... https://t.co/YqfbbuZikT,,,,x,
9.26E+17,JahPhilMe,05:59.0,"Remember when Selena Gomez came out w her battle against Lupus, depression and made it through a kidney transplant? Jeez dude, b happy 4 her https://t.co/KiHpOKAZ2A",,x,,,
9.26E+17,Fabulupus,02:46.0,"#fabulupus has #info, #tips &amp; #advice on how to cope w/ #lupus and the rest of it: #school, #jobs, #relationships, #family #friends #fun https://t.co/Is9BubqhjG",,x,,,
9.26E+17,haedorable,01:45.0,but i need to finish the lupus tales fic update 🤧,x,,,,
9.26E+17,ohpobrecita,01:20.0,@moonlightgae where does it say work out of the field of music? lupus has nothing to do with music. i agree she’s cool but music wise 🤢 not so gr8 https://t.co/ZN5O2nU3GB,,x,,,
9.26E+17,Fabulupus,00:47.0,What is #fabulupus? It's the first and only #book written for #young people with #lupus. #lupusyouth #lupusawareness https://t.co/98Yht0Jk5T,,,,,x
9.26E+17,Lupus_Chat,59:50.0,"If your mobility is low, try breathing exercises to help you center your body &amp; mind to prepare for the day ahead. #LupusChat 👇 https://t.co/DVeQiOXyTj",,,,x,
9.26E+17,lovejelieber1,57:46.0,She was crying on stage not because of the break up but because she found out about her lupus and wasn’t feeling good https://t.co/Vo4oPyS3yF,,x,,,
9.26E+17,MumblezthaClown,55:57.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus .... ⭐️💫⭐️❣❣❣
Copy and paste",,x,,,
9.26E+17,Lupus_Chat,54:50.0,"Hey #LupusChat family, don't forget to do your stretches. If you're able, light exercise or yoga is great for your daily routine. 🏃 https://t.co/V5VT8v9iOR",,,,x,
9.26E+17,miss_malec,53:36.0,Are all the 10 parts of the Lupus Tales connected or you can read them individually??,x,,,,
9.26E+17,peacewyns93,52:38.0,"#QueenSugar lupus, addictions, the confederacy,etc.  Y'all @QueenSugarOWN are covering so many important issues. Outstanding❤️👏🏾 https://t.co/GC4DBP3f2j",,,,x,
9.26E+17,AceCompHealth,52:26.0,"What is Lupus and can Acupuncture help?
https://t.co/nXIlEYwDfo

#Lupusawareness https://t.co/lR6LrVpjlm",,,,,x
9.26E+17,lovejelieber1,52:12.0,Are you ready for Bizzle to rise ones again 🙄👍🏼 and don’t come me with Selena was depressed too yes she was but it was because of her Lupus https://t.co/4rEEb8lNKi,,x,,,
9.26E+17,Blahaaron,51:45.0,Selena Bieber. It's only a matter of time. The poor girl has Lupus. Let her date whomever she wants. https://t.co/ZeqdU1NsVt,,x,,,
9.26E+17,MikeTaylorShow,51:41.0,The great @RudyJay711 is having his annual golf tournament for lupus research. https://t.co/ICFmx9tAaN,,,,,x
9.26E+17,xoxosabrinalynn,50:16.0,The lupus isn't just effecting me...it's killing him too.,,x,,,
9.26E+17,moonlightmango,48:43.0,"@5hselari @nickithemermaid @CHRISTYLEE18 @FettyPikachu @THR @selenagomez @billboard yeah, but that's it. she brought awareness to lupus. for as much as i feel for her for having such horrible disease, there were women who",,x,,,
9.26E+17,smoIstin,48:17.0,"why do people want us to not hate on seltuna bc she has lupus?seriously i have many reasons to hate on her, i dont drag her bc she has lupus",,x,,,
9.26E+17,itsmorenamorena,45:39.0,"Lawd knows I need a Hollywood 💜
I appreciate seeing #Lupus portrayed on TV. It's increases awareness and support for us living with it. https://t.co/fANLdVqjm5",,x,,,
9.26E+17,jdbieberslut,45:03.0,"respect because she has lupus but just because she has it, i should kiss her ass? https://t.co/aXWBF9o936",,x,,,
9.26E+17,peacewyns93,45:00.0,#QueenSugar I ❤️ Hollywood and his unwavering support of Vi after learning about the lupus,,x,,,
9.26E+17,LupusTreatment,42:08.0,"Dr. Gary M. Levin's remarkable Lupus Total Symptom Elimination https://t.co/eJEAB576d6 lupussupport, lupushelp",,,,x,
9.26E+17,drboss202,41:45.0,I remember when mom told me she had Lupus back in 2004. It broke my heart. I helped her every way I could until she passed away #QueenSugar,,x,,,
9.26E+17,DrJockers,40:08.0,How Does Lupus Affect Us? https://t.co/b97qaNQL5T https://t.co/IzcEvOWTTm,,,,,x
9.26E+17,grace_corinne20,37:01.0,Remember when Selena almost died this summer due to her lupus?? She deserves this for her strength and her inspiration https://t.co/Zy6Rm2p1S7,,x,,,
9.26E+17,sloan_newman,36:00.0,"“Homo homini lupus est"", what happened to our #AudacityofHope @BarackObama? Where leaders of the free world call for the death penalty.",x,,,,
9.26E+17,Hadyn_Crow,34:18.0,@moonlightgae Go on a rant about how she had Lupus @thebk28,,x,,,
9.26E+17,three___c,33:09.0,"Pinche Lupus acting like I don’t have 3 kids to take care of &amp; a shit ton of homework to get done. FUCK to the OFF, at least today!🖕🏼🖕🏼🖕🏼😭😭😭",x,,,,
9.26E+17,dodoublejen,33:08.0,I understand SelGo has lupus and is struggling but she doesn’t deserve Woman of the Year,,x,,,
9.26E+17,5hselari,30:51.0,@nickithemermaid @moonlightmango @CHRISTYLEE18 @FettyPikachu @THR @selenagomez @billboard How about bringing awareness to lupus and her along with francia spreading awareness to organ donation. Dont act stupid. Google it sweetie,,x,,,
9.26E+17,kookvel,29:41.0,"@_taeddybunny The lupus series, you must read the first series before you read this 😂😂 but here the link for the one i read https://t.co/lZoltqSkUS",,x,,,
9.26E+17,LupusOrg,28:10.0,"We love how supportive Hollywood is! The more he knows about lupus&amp; how to cope with it, the better prepared he is to help&amp; support Aunt Vi💜 https://t.co/8g8fRRo41r",,,,,x
9.26E+17,Impalax67,27:49.0,@moonlightgae remember when selena gave all the recaudation of the revival tour for the research of the lupus,,x,,,
9.26E+17,11c6558cc63241f,27:01.0,Your Lupus had done disappeared ! #Happiest5WordSentence,,x,,,
9.26E+17,desroundtree,26:15.0,Aunt Vi has #Lupus and I am bawling. @QueenSugarOWN #LupusWarrior #Lupus,,x,,,
9.26E+17,kaylaa_ivette,20:42.0,Well we know sel must be going through a lot due to having lupus and also the kidney transplant and she’s been through a lot with Justin..,,x,,,
9.26E+17,CDMRP,20:05.0,#CDMPR released the Program Funding Announcements for the Lupus Research Program  https://t.co/JJ7qsQK6V9,,,,,x
9.26E+17,amandanikol,16:31.0,Anyway. I should read up about lupus. #medicalstudent,,x,,,
9.26E+17,DJRaven69,16:21.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus .... ⭐️💫⭐️❣
Copy and post",,x,,,
9.26E+17,LawyersVSLupus,15:05.0,Thank you for doing this for our #Lupus community! https://t.co/imLGn4qv4y,,x,,,
9.26E+17,l3bitches,14:32.0,@yonceXariana @brieIarsonn why do u have to bring her lupus in im-,,x,,,
9.26E+17,NewMusicInsight,11:14.0,Canis Lupus - The Final Dream ➤ (Official Promo) https://t.co/ZkSxjSF70K via @YouTube,x,,,,
9.26E+17,amandanikol,09:26.0,@moonlightgae @darrahperryman Friendly reminder that she belittled BLM by saying it was about picking sides &amp; not...idk...police brutality. Congrats on beating lupus tho🙄,,x,,,
9.26E+17,CruzanChoklate,08:37.0,Hollywood’s face when Aunt Vi told him she had lupus. That hit me in the chest.,,x,,,
9.26E+17,Tko_oh,05:05.0,she got a kidney transplant and now she has a 3-5% chance of getting lupus again. I had no idea it could be cured by doing that,,x,,,
9.26E+17,WonderLogan21,03:58.0,Remember when Selena almost died from a very common autoimmune disease and spoke out about it. Informing millions on lupus. https://t.co/LjCxCSfnVb,,x,,,
9.26E+17,OMN0MNOMM,03:48.0,@Colton_jordon1 Its probably a combo of her wanting to focus on healing and keep smoking insane amounts of pot bc I would if I had lupus,,x,,,
9.26E+17,OMN0MNOMM,03:21.0,@Colton_jordon1 They must have grown a part because they were real close during BTW + the only thing they mentioned was her quitting bc of lupus,,x,,,
9.26E+17,SanjnaSingh427,02:58.0,Like a predator she calls through fake numbers. What’s with the current lupus obsession? Always manipulating others that they are disease+,,x,,,
9.26E+17,lupusnewstoday,02:45.0,"""Feeling Like Fall: 5 Ways to Stay Warm with Lupus in Cool Weather"". Read more: https://t.co/zC5wtL6yjC",,,,,x
9.26E+17,LupusResearch,01:32.0,Most people with SLE experience unexplained fevers. Learn more about the symptoms of lupus https://t.co/qtx9jmnS8N,,,,x,
9.26E+17,LawyersVSLupus,01:18.0,"#LUPUS SUPPORT GRP CONF CALL 2NITE @7P-DIAL: (563) 999-2090, Hit 158276
Grief &amp; Dealing w. #AutoimmuneDisease
Join: https://t.co/JWIUtv8e8d https://t.co/ZTGRIT352H",,,,,x
9.26E+17,MarcSucciMD,01:02.0,"Despite improving trends in lupus-related mortality, rates appear to remain high relative to… https://t.co/I8YKfLuElB #Cardiology @2minmed https://t.co/arHFd5uevY",,,,x,
9.26E+17,OMN0MNOMM,00:16.0,@Colton_jordon1 I know she originally left the team bc of her lupus getting worse - I'm guessing her and Gaga aren't close anymore either tho,,x,,,
9.26E+17,MILupus1,00:08.0,"There's still time! Sign up now for our St. Clair Shores Lupus Group! All lupus patients, friends and volunteers... https://t.co/eb8jC418ut",,,,,x
9.26E+17,YURY1,59:50.0,@CakeladieDeAnna @Lupus_Chat All the time! But my God keeps me going. Ask for strength 💪 stay positive.,,x,,,
9.26E+17,ChrisArcticHow,59:38.0,@Blue_Dingolf Oh and with what you said I'm guessing you should probably disassociate with foxler and or kekus lupus,x,,,,
9.26E+17,LITOWKIV,59:21.0,I’ll be donating at least $50 to Lupus organizations in honor of my cousin who died of Lupus when I was in high school.,,x,,,
9.26E+17,lucydiangkasa,58:08.0,@soulzoul Kena ada dua i think if lupus attack again at least she got a spare,,x,,,
9.26E+17,CammiCarlocchia,57:22.0,"@heidos777 @coldgirlfeverr @moonlightgae @selenagomez @ArianaGrande And she has lupus and that barely stopped her, people have you even searched the illness?",,x,,,
9.26E+17,WeBelieveInUtd,55:28.0,@moonlightgae I get it. But one battled Lupus and other made efforts very award worthy. So both deserve. I get your point..,,x,,,
9.26E+17,CammiCarlocchia,54:38.0,@moonlightgae You sure must be a horrible person if you don't appreciate the strenght that requires keep working while having Lupus.,,x,,,
9.26E+17,jamieesantos,50:12.0,"Don't exactly remember the date you came into my life. But it's been two years, and I think sanay na ako sa'yo, gaga. Living with Lupus. https://t.co/vfItokkmac",,x,,,
9.26E+17,Kay13Mar,49:53.0,@Lupus_Chat @CakeladieDeAnna Stay strong babygirl(: we're a community to motivate you and help you with your journey. Much love! Feel free to DM 💜💜,,x,,,
9.26E+17,SynceNerd_Carli,48:31.0,"@Lupus_Chat @CakeladieDeAnna Hey DeAnna, we're all here for you if/when you need us. Feel free to DM me. Sending you love! 💜 #LupusChat",,x,,,
9.26E+17,LovelySlaylena,47:17.0,"So we won't get selena's documentary about lupus?? 
Because I think when she said ""sharing their story"" she ment this interview only??",,x,,,
9.26E+17,mommade4change,41:41.0,"@Lupus_Chat @CakeladieDeAnna Yes, we are here. Please don't give up on you. #LupusChat",,x,,,
9.26E+17,lupussurvivors,39:19.0,"The average annual direct and indirect costs incurred by a person with lupus can exceed $21,000 annually. #lupus  https://t.co/TClwcK0izG https://t.co/2syAdyGqsa",,,,,x
9.26E+17,Lupus_Chat,37:26.0,"Sadly, we've all been there @CakeladieDeAnna. Please know that everyone in the #LupusChat family is here w/ you and supports you DeAnna! 💜 https://t.co/sRSxeDLPL2",,x,,,
9.26E+17,Lupus_Chat,32:10.0,"Hey  #LupusChat family, time to take your A.M. meds💊, drink water🚰, and eat breakfast🍛! We definitely want to start our Thursday off right! https://t.co/YAKjgypzcc",,,,,x
9.26E+17,TraceyCooke1027,31:17.0,#Food #cure for the reversal of most #deadly #diseases #Cancer #Aids #lupus #etc  https://t.co/FJukEgeJmV,,,,,x
9.26E+17,PaganParish,30:48.0,"@push4ms @chronic_hopeful Know how you feel... I have Lupus &amp; RA. Lately I can hardly get out of bed. In fact, I’m tweeting from my bed. Hope you feel better soon!",,x,,,
9.26E+17,IssaNidalMaayah,25:39.0,"Selena Gomez raised 500k+ to lupus research 
Selena participated in charity events that raised over 30 million dollars https://t.co/2pM1JtWn4k",,x,,,
9.26E+17,B_white_80,17:51.0,"Some of you don't care, but my family and my real friends will. In Honor of someone who fights lupus .... ⭐️💫⭐️💜
Copy and post",,x,,,
9.26E+17,lupusnewstoday,15:23.0,2 Genetic Variants May Increase Disease Susceptibility in Lupus Patients from India. Read more: https://t.co/6RnkBNxkKM,,,,x,
9.26E+17,Lupus_SM,15:06.0,#ACR17 is just a couple of days away! Get prepared. #Lupus_SM will keep you updated about #lupus sessions. Stay tuned! https://t.co/VCuDUF42EU,,,,,x
9.26E+17,nisaeriono,10:11.0,+ when she raised a lot of money for Lupus research AS a woman IN music https://t.co/hN9fMsP520,,x,,,
9.26E+17,fightlupuskenya,08:48.0,Humphrey Mieno joins in the fight against Lupus... Let's meet on the 25th for the Lupus awareness soccer tournament #LAST @FirstLadyKenya https://t.co/Yk4HVyIxYL,,,,,x
9.26E+17,LilMissEmo24,07:40.0,When you are having a lupus flare and you still beat the steps https://t.co/qa5tHsYHi7,,x,,,
9.26E+17,fightlupuskenya,07:03.0,King Osei Gyan joins in the fight against Lupus @fightlupuskenya @lupussurvivors @Sheblossoms #lupusawarenesssoccertournament https://t.co/Zpdo7DN890,,,,,x
9.26E+17,fastwatermoon,05:51.0,@SLSmith000 Bless your heart. My sister cousin has lupus and she has been thru so much too. Your work has been so important here. Thank you.,,x,,,
9.26E+17,Hunter2600,05:39.0,@Cherharris7 Sorry to know that u have #Lupus ... I like wut u tweet. Get well soon,,x,,,
9.26E+17,lupusnewstoday,05:33.0,"Roche, Genentech Now Recruiting Lupus Nephritis Patients for Clinical Trial Testing Gazyva. Read more: https://t.co/fdTl4i7DTG",,,,,x
9.26E+17,ebonyjenkins_,01:51.0,It look like he got lupus https://t.co/MblgqVXiLt,,x,,,
